APOIO 1   (1º PEL/1ª CIA),,,
ÁREA,Nº,,NOTA
APOIO,A1-,1-1010,"7,3"
APOIO,A1-,1-1016,"9,2"
APOIO,A1-,1-1019,"9,5"
APOIO,A1-,1-1023,"9,7"
APOIO,A1-,1-1027,"9,2"
APOIO,A1-,1-1032,"9,2"
APOIO,A1-,1-1039,"9,5"
APOIO,A1-,1-1045,"8,2"
APOIO,A1-,1-1047,"8,5"
APOIO,A1-,1-1050,"7,7"
APOIO,A1-,1-1055,"9,7"
APOIO,A1-,1-1057,"7,8"
APOIO,A1-,1-1065,"9,2"
APOIO,A1-,1-1070,9
APOIO,A1-,1-1073,"9,2"
APOIO,A1-,1-1078,"8,5"
APOIO,A1-,1-1084,"8,2"
APOIO,A1-,1-1086,"8,2"
APOIO,A1-,1-1093,"9,7"
APOIO,A1-,1-1102,10
APOIO,A1-,1-1105,"8,7"
APOIO,A2-,1-1107,"8,2"
ELETROELETRÔNICA 1 (2º PEL/2ª CIA),,,
ÁREA,Nº,,NOTA
ELETRO,E2-,2-2006,"9,45"
ELETRO,E2-,2-2034,10
ELETRO,E2-,2-2053,"8,3"
ELETRO,E2-,2-2080,9
ELETRO,E2-,2-2088,"8,75"
ELETRO,E2-,2-2098,9
ELETRO,E2-,2-2104,"6,3"
ELETRO,E2-,2-2115,"9,5"
ELETRO,E2-,2-2118,"8,5"
ELETRO,E2-,2-2122,9
ELETRO,E2-,2-2125,"8,8"
ELETRO,E2-,2-2129,"8,05"
ELETRO,E2-,2-2135,"7,3"
ELETRO,E2-,2-2143,"9,5"
ELETRO,E2-,2-2147,9
ELETRO,E2-,2-2152,"7,5"
ELETRO,E2-,2-2158,9
ELETRO,E2-,2-2161,"8,8"
ELETRO,E2-,2-2163,8
ELETRO,E2-,2-2165,"8,25"
ELETRO,E2-,2-2167,"6,35"
ELETRO,E2-,2-2169,"8,3"
ELETRO,E2-,2-2171,"8,5"
ELETRO,E2-,2-2173,9
ELETRO,E2-,2-2175,"6,7"
ELETROELETRÔNICA 3 (3º PEL/1ª CIA),,,
ÁREA,Nº,,NOTA
ELETRO,E3-,1-3009,9
ELETRO,E3-,1-3018,10
ELETRO,E3-,1-3037,"8,7"
ELETRO,E3-,1-3058,"7,9"
ELETRO,E3-,1-3068,"9,5"
ELETRO,E3-,1-3081,"7,7"
ELETRO,E3-,1-3099,"8,2"
ELETRO,E3-,1-3110,8
ELETRO,E3-,1-3119,"9,5"
ELETRO,E3-,1-3123,"7,9"
ELETRO,E3-,1-3126,"9,2"
ELETRO,E3-,1-3131,"9,2"
ELETRO,E3-,1-3138,"8,5"
ELETRO,E3-,1-3144,6
ELETRO,E3-,2-1149,"9,5"
ELETRO,E3-,2-1153,"8,7"
ELETRO,E3-,2-1156,"7,5"
ELETRO,E3-,2-1159,"8,2"
ELETRO,E3-,2-1176,"8,2"
ELETRO,E3-,2-1178,"8,4"
ELETRO,E3-,2-1179,6
ELETRO,E3-,2-1180,7
ELETRO,E3-,2-1181,"6,5"
ELETRO,E2-,2-2177,"8,2"
APOIO 2   (1º PEL/2ª CIA),,,
ÁREA,Nº,,NOTA
APOIO,A2-,2-1007,"8,1"
APOIO,A2-,2-1015,"8,4"
APOIO,A2-,2-1017,"9,4"
APOIO,A2-,2-1022,"9,4"
APOIO,A2-,2-1029,"7,7"
APOIO,A2-,2-1031,"7,5"
APOIO,A2-,2-1036,8
APOIO,A2-,2-1046,8
APOIO,A2-,2-1048,10
APOIO,A2-,2-1054,"8,2"
APOIO,A2-,2-1056,8
APOIO,A2-,2-1069,"7,5"
APOIO,A2-,2-1071,"8,6"
APOIO,A2-,2-1077,"9,4"
APOIO,A2-,2-1079,9
APOIO,A2-,2-1085,"9,1"
APOIO,A2-,2-1089,10
APOIO,A2-,2-1092,"7,2"
APOIO,A2-,1-1109,"6,1"
APOIO,A2-,1-1103,7
APOIO,A2-,1-1106,"7,9"
ELETROELETRÔNICA 2 (2º PEL/1ª CIA),,,
ÁREA,Nº,,NOTA
ELETRO,E1-,1-2011,"9,5"
ELETRO,E1-,1-2028,"8,4"
ELETRO,E1-,1-2042,9
ELETRO,E1-,1-2060,8
ELETRO,E1-,1-2072,"7,7"
ELETRO,E1-,1-2087,"8,2"
ELETRO,E1-,1-2096,"9,9"
ELETRO,E1-,1-2100,"7,4"
ELETRO,E1-,1-2114,10
ELETRO,E1-,1-2117,"8,1"
ELETRO,E1-,1-2120,"7,5"
ELETRO,E1-,1-2124,9
ELETRO,E1-,1-2133,"8,5"
ELETRO,E1-,1-2141,9
ELETRO,E1-,1-2146,"8,5"
ELETRO,E1-,1-2151,"8,7"
ELETRO,E1-,1-2154,"9,5"
ELETRO,E1-,1-2157,"8,5"
ELETRO,E1-,1-2160,9
ELETRO,E1-,1-2162,7
ELETRO,E1-,1-2164,"7,3"
ELETRO,E1-,1-2166,"7,9"
ELETRO,E1-,1-2170,"9,2"
ELETRO,E1-,1-2172,"5,4"
ELETRO,E1-,1-2174,"6,8"
MECÂNICA 1 (3º PEL/2ª CIA),,,
ÁREA,Nº,,NOTA
MECAN,M1-,2-3014,"9,5"
MECAN,M1-,2-3021,"7,8"
MECAN,M1-,2-3040,"9,3"
MECAN,M1-,2-3044,9
MECAN,M1-,2-3051,"9,5"
MECAN,M1-,2-3059,"8,5"
MECAN,M1-,2-3063,9
MECAN,M1-,2-3067,"8,6"
MECAN,M1-,2-3074,9
MECAN,M1-,2-3075,7
MECAN,M1-,2-3076,"8,3"
MECAN,M1-,2-3090,"8,5"
MECAN,M1-,2-3097,9
MECAN,M1-,2-3101,"7,55"
MECAN,M1-,2-3111,"7,35"
MECAN,M1-,2-3112,"9,5"
MECAN,M1-,2-3121,"9,5"
MECAN,M1-,2-3127,"9,75"
MECAN,M1-,2-3130,"8,5"
MECAN,M1-,2-3132,"7,3"
MECAN,M1-,2-3134,8
MECAN,M1-,2-3136,9
MECAN,M1-,2-3139,"8,8"
MECAN,M1-,2-3140,"8,8"
